epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.4349,0.62881,2.00351,3.48925,0.97059,0.00493,1,0.22523,0.21189,0.00493,1,0.22523,0.19646,0.21249,0.69865,3.58058,0.83475,3.75e-05,3.75e-05,3.75e-05
2,67.6491,0.51135,1.54358,3.41981,0.93044,0.00426,1,0.23663,0.23132,0.00426,1,0.23663,0.23663,0.15989,0.47653,3.57176,0.8124,8.66338e-05,8.66338e-05,8.66338e-05
3,86.2993,0.40562,0.91006,3.419,0.89814,0.00467,1,0.30673,0.30208,0.00467,1,0.30673,0.30673,0.14317,0.47035,3.56373,0.80848,0.000134777,0.000134777,0.000134777
4,110.712,0.45897,0.85046,3.39296,0.96708,0.00686,1,0.37557,0.36782,0.00686,1,0.37557,0.37557,0.13397,0.37334,3.56141,0.80214,0.000181931,0.000181931,0.000181931
5,130.095,0.38405,0.82918,3.38994,0.87491,0.00624,1,0.46019,0.45646,0.00624,1,0.46019,0.46019,0.13733,0.34494,3.56457,0.79615,0.000228095,0.000228095,0.000228095
6,149.089,0.42853,0.8387,3.35946,0.89969,0.00637,1,0.54952,0.51502,0.00637,1,0.54952,0.54952,0.15376,0.31808,3.59152,0.80591,0.000273269,0.000273269,0.000273269
7,163.798,0.50124,1.11022,3.37485,0.89226,0.00616,1,0.48171,0.46666,0.00616,1,0.4856,0.4849,0.16116,0.31225,3.62333,0.82365,0.000317452,0.000317452,0.000317452
8,182.411,0.54338,1.11397,3.3826,0.93187,0.00629,1,0.35678,0.3428,0.00629,1,0.45422,0.38318,0.19948,0.43667,3.63755,0.84394,0.000360646,0.000360646,0.000360646
9,200.602,0.66973,1.19132,3.45096,1.05604,0.00589,0.875,0.22246,0.21136,0.00638,1,0.23813,0.22528,0.24394,0.96408,3.6775,0.86417,0.00040285,0.00040285,0.00040285
10,217.985,0.67014,1.08142,3.32668,1.04007,0.00629,0.875,0.16848,0.1603,0.00674,1,0.1713,0.16245,0.36554,1.44213,3.76158,0.94347,0.000444064,0.000444064,0.000444064
11,235.276,0.63081,1.07782,3.36412,1.02539,0.0043,0.75,0.17768,0.14521,0.0043,0.75,0.16049,0.13972,0.5273,2.39949,3.83967,1.08836,0.000484288,0.000484288,0.000484288
12,252.108,0.72571,0.96436,3.44275,1.09987,0.00653,0.875,0.28792,0.21294,0.00653,0.875,0.29054,0.18917,0.73184,2.81162,3.98739,1.22923,0.000523521,0.000523521,0.000523521
13,268.367,0.85329,1.40803,3.56417,1.22139,0.00608,0.875,0.0668,0.04582,0.00608,0.875,0.111,0.03741,1.20099,5.17849,4.12378,1.72647,0.000561765,0.000561765,0.000561765
14,283.116,0.91269,1.42519,3.57786,1.18623,0.00471,0.875,0.08254,0.02341,0.00632,0.75,0.10657,0.03596,1.50193,9.34669,4.41602,2.06183,0.000599019,0.000599019,0.000599019
15,306.858,1.05966,1.66638,3.70864,1.262,0.00796,1,0.13694,0.02961,0.00398,0.5,0.15708,0.0561,1.72818,8.98723,4.53888,2.04574,0.000635282,0.000635282,0.000635282
16,320.425,1.34607,2.15109,3.81762,1.46617,0.00796,1,0.13694,0.02961,0.00398,0.5,0.15708,0.0561,1.72818,8.98723,4.53888,2.04574,0.000670556,0.000670556,0.000670556
17,336.777,1.529,3.17842,4.00094,1.66265,0.00161,0.625,0.13003,0.02651,0.00373,0.125,0.00783,0.00078,2.04032,7.92452,4.52972,2.20721,0.00070484,0.00070484,0.00070484
18,359.915,1.55682,3.30928,4.18811,1.76253,0.00537,0.625,0.06699,0.01993,0.00443,0.25,0.0661,0.00661,2.12786,6.06767,4.8371,2.34946,0.000738134,0.000738134,0.000738134
19,381.92,1.62251,3.20844,4.00225,1.67492,0.00537,0.625,0.06699,0.01993,0.00443,0.25,0.0661,0.00661,2.12786,6.06767,4.8371,2.34946,0.000770438,0.000770438,0.000770438
20,405.44,1.74315,3.02085,4.14628,1.84771,0.00099,0.375,0.00171,0.00076,0.00073,0.25,0.00117,0.00058,2.41135,4.6553,5.01763,2.46867,0.000801751,0.000801751,0.000801751
21,429.957,1.72091,2.97351,4.12419,1.80456,0.00336,0.75,0.04941,0.0229,0.00204,0.25,0.04234,0.0084,1.8956,4.7325,4.58855,2.19837,0.000832075,0.000832075,0.000832075
22,446.349,1.80034,3.60646,4.39375,1.95341,0.00336,0.75,0.04941,0.0229,0.00204,0.25,0.04234,0.0084,1.8956,4.7325,4.58855,2.19837,0.000861409,0.000861409,0.000861409
23,464.349,1.96131,2.9689,4.3859,2.02689,0.00269,0.75,0.00509,0.0021,0.00279,0.75,0.00473,0.00156,2.18038,4.72639,4.50217,2.17656,0.000889753,0.000889753,0.000889753
24,480.654,2.00722,3.7443,4.60379,2.14107,0.00269,0.75,0.00509,0.0021,0.00279,0.75,0.00473,0.00156,2.18038,4.72639,4.50217,2.17656,0.000917106,0.000917106,0.000917106
25,500.371,1.96987,3.78116,4.42433,2.11751,0.00173,0.5,0.0035,0.001,0.00109,0.375,0.00298,0.00107,2.65858,7.66235,5.16635,2.67877,0.00094347,0.00094347,0.00094347
26,517.353,1.96191,4.24406,4.54611,2.05872,0.00173,0.5,0.0035,0.001,0.00109,0.375,0.00298,0.00107,2.65858,7.66235,5.16635,2.67877,0.000940625,0.000940625,0.000940625
27,529.7,1.89097,4.36153,4.52481,2.03596,0.00187,0.5,0.00234,0.00073,0.00032,0.125,0.00065,0.00017,2.57912,9.48733,5.43514,3.00877,0.00092825,0.00092825,0.00092825
28,541.07,2.12294,5.94829,4.68316,2.20243,0.00187,0.5,0.00234,0.00073,0.00032,0.125,0.00065,0.00017,2.57912,9.48733,5.43514,3.00877,0.000915875,0.000915875,0.000915875
29,558.243,2.16985,5.01066,4.61464,2.21835,0.00085,0.25,0.00092,0.00015,0,0,0,0,2.65337,9.47677,5.68576,2.89165,0.0009035,0.0009035,0.0009035
30,580.039,2.29267,6.66736,4.79172,2.35333,0.00085,0.25,0.00092,0.00015,0,0,0,0,2.65337,9.47677,5.68576,2.89165,0.000891125,0.000891125,0.000891125
31,594.445,2.25936,5.01384,4.57655,2.20852,0.00074,0.25,0.00096,0.00025,0.00047,0.125,0.00055,6e-05,2.77879,9.96565,5.55615,2.97901,0.00087875,0.00087875,0.00087875
32,608.733,2.18092,4.84904,4.76423,2.15073,0.00074,0.25,0.00096,0.00025,0.00047,0.125,0.00055,6e-05,2.77879,9.96565,5.55615,2.97901,0.000866375,0.000866375,0.000866375
33,630.396,1.93656,4.24787,4.64589,2.07466,0.00115,0.375,0.00169,0.00052,0,0,0,0,2.8997,6.49562,5.75686,3.1863,0.000854,0.000854,0.000854
34,657.156,2.10453,3.32328,4.41744,2.08399,0.00115,0.375,0.00169,0.00052,0,0,0,0,2.8997,6.49562,5.75686,3.1863,0.000841625,0.000841625,0.000841625
35,1068.51,2.07503,3.07324,4.79904,2.13632,0.00205,0.625,0.00451,0.00095,0,0,0,0,3.21506,7.25437,5.85963,3.46337,0.00082925,0.00082925,0.00082925
36,1099.7,2.20609,3.33647,4.57824,2.24435,0.00205,0.625,0.00451,0.00095,0,0,0,0,3.21506,7.25437,5.85963,3.46337,0.000816875,0.000816875,0.000816875
37,1133.46,2.13314,3.36485,4.46728,2.1493,0.00211,0.625,0.00494,0.00097,0,0,0,0,3.10095,11.1617,5.69059,4.02188,0.0008045,0.0008045,0.0008045
38,1155.41,1.96811,3.83289,4.32528,2.09983,0.00211,0.625,0.00494,0.00097,0,0,0,0,3.10095,11.1617,5.69059,4.02188,0.000792125,0.000792125,0.000792125
39,1176.98,2.05785,3.5997,4.58499,2.1518,0.00205,0.625,0.00298,0.00085,0,0,0,0,3.42018,15.034,5.71193,4.48771,0.00077975,0.00077975,0.00077975
40,1195.99,2.20045,3.4343,4.51563,2.23122,0.00205,0.625,0.00298,0.00085,0,0,0,0,3.42018,15.034,5.71193,4.48771,0.000767375,0.000767375,0.000767375
41,1222.49,2.11432,3.73857,4.43671,2.24684,0.00129,0.375,0.00147,0.00041,0,0,0,0,3.58249,12.8576,6.05583,3.86427,0.000755,0.000755,0.000755
42,1252.45,2.25065,4.15407,4.46263,2.28855,0.00129,0.375,0.00147,0.00041,0,0,0,0,3.58249,12.8576,6.05583,3.86427,0.000742625,0.000742625,0.000742625
43,1277.43,2.23562,3.69612,4.60048,2.32783,0.00174,0.5,0.01697,0.00377,0,0,0,0,3.10488,17.359,5.77029,4.01011,0.00073025,0.00073025,0.00073025
